asset,model,ar_lag,aic,delta_aic
DXY,"ARX(0)+GARCH(1,1)",0,4922.820355593175,
DXY,"ARX(1)+GARCH(1,1)",1,4919.248110096822,
DXY,"ARX(2)+GARCH(1,1)",2,4920.363999230429,
DXY,"ARX(3)+GARCH(1,1)",3,4918.710051142689,
DXY,"ARX(4)+GARCH(1,1)",4,4919.452204026889,
DXY,"ARX(5)+GARCH(1,1)",5,4918.289085974049,
EEM,"ARX(0)+GARCH(1,1)",0,14732.527248287759,
EEM,"ARX(1)+GARCH(1,1)",1,14730.676961685731,
EEM,"ARX(2)+GARCH(1,1)",2,14724.461136838512,
EEM,"ARX(3)+GARCH(1,1)",3,14723.574998248683,
EEM,"ARX(4)+GARCH(1,1)",4,14720.493195015328,
EEM,"ARX(5)+GARCH(1,1)",5,14716.02115146405,
