asset,model,component,parameter,estimate,std_error,t_stat,p_value,reported_units
DXY,"Joint ARX(5)+GARCH(1,1)",mean,Const,2.9821170750958313e-05,6.084349692373439e-05,0.49012913883530246,0.624042519891322,raw_return
DXY,"Joint ARX(5)+GARCH(1,1)",mean,target[1],-0.041567318996876934,0.018554451740665445,-2.240288184089785,0.025072219845288603,dimensionless
DXY,"Joint ARX(5)+GARCH(1,1)",mean,target[2],-0.009021161034015204,0.019153196571927475,-0.47100028447665865,0.6376405317543793,dimensionless
DXY,"Joint ARX(5)+GARCH(1,1)",mean,target[3],-0.01950507483606439,0.015123651870061242,-1.2897066795538057,0.19715251954526825,dimensionless
DXY,"Joint ARX(5)+GARCH(1,1)",mean,target[4],-0.012550401650064127,0.015500835954832877,-0.8096596652357412,0.4181358059546191,dimensionless
DXY,"Joint ARX(5)+GARCH(1,1)",mean,target[5],0.007739166914286272,0.01535081736438654,0.5041534095924377,0.6141535774418533,dimensionless
DXY,"Joint ARX(5)+GARCH(1,1)",mean,EEM,-0.010207250637751781,0.007979432216014775,-1.279195105795342,0.20082835890567108,raw_return
DXY,"Joint ARX(5)+GARCH(1,1)",mean,HG=F,0.0038465399996581466,0.00522364421518441,0.7363709780380502,0.46150496160903165,raw_return
DXY,"Joint ARX(5)+GARCH(1,1)",mean,^TNX,0.01060224569365431,0.003761237656423041,2.8188183417628303,0.004820078837569721,raw_return
DXY,"Joint ARX(5)+GARCH(1,1)",mean,GC=F,-0.008505373475063272,0.008158804741988615,-1.0424778805271646,0.2971901754448738,raw_return
DXY,"Joint ARX(5)+GARCH(1,1)",mean,CL=F,-0.0025181927746884165,0.003076800220318908,-0.8184453309833057,0.41310294636871736,raw_return
DXY,"Joint ARX(5)+GARCH(1,1)",mean,EURUSD=X,-0.009700438804675464,0.015803736733962532,-0.6138066564870721,0.5393430980601721,raw_return
DXY,"Joint ARX(5)+GARCH(1,1)",mean,GBPUSD=X,-0.02529011425765778,0.014568506625281358,-1.7359441779551208,0.08257370533380683,raw_return
DXY,"Joint ARX(5)+GARCH(1,1)",mean,CAD=X,-0.01114930971979833,0.016089011083969082,-0.6929766945656085,0.48832417718451815,raw_return
DXY,"Joint ARX(5)+GARCH(1,1)",mean,^GSPC,-0.032076031117656355,0.01242302979739249,-2.5819813395592837,0.009823489635982915,raw_return
