canonical,asset_panel,variable,nobs,adf_stat,adf_p_value,adf_lags,adf_stationary_5pct,kpss_stat,kpss_p_value,kpss_lags,kpss_stationary_5pct,joint_conclusion
Copper,DXY,HG=F,5263,-19.871760576500872,0.0,11,True,0.09030318659814647,0.1,7,True,Stationary by ADF and KPSS
DXY,EEM,DX-Y.NYB,5258,-21.769166589925067,0.0,10,True,0.049310472238730606,0.1,9,True,Stationary by ADF and KPSS
EEM,DXY,EEM,5263,-15.750948594869579,1.223533937533658e-28,19,True,0.06726810430572917,0.1,27,True,Stationary by ADF and KPSS
EUR/USD,DXY,EURUSD=X,5263,-13.478680441279474,3.273671928839529e-25,29,True,0.03820928723220843,0.1,23,True,Stationary by ADF and KPSS
GBP/USD,DXY,GBPUSD=X,5263,-15.789282102263277,1.107154951413087e-28,23,True,0.049026339002789986,0.1,13,True,Stationary by ADF and KPSS
Gold,DXY,GC=F,5263,-24.68873800098533,0.0,8,True,0.20862801543277631,0.1,11,True,Stationary by ADF and KPSS
S&P 500,DXY,^GSPC,5263,-18.377775373300295,2.212187089961957e-30,15,True,0.13847454070952248,0.1,24,True,Stationary by ADF and KPSS
TNX,DXY,^TNX,5263,-12.020188992002604,3.0362272001497377e-22,33,True,0.15490216012064736,0.1,5,True,Stationary by ADF and KPSS
USD/CAD,DXY,CAD=X,5263,-14.697244024968333,2.984993726562815e-27,26,True,0.1588250341491064,0.1,9,True,Stationary by ADF and KPSS
USD/JPY,EEM,JPY=X,5258,-13.054388937031304,2.1096057199880906e-24,27,True,0.2073165185429042,0.1,18,True,Stationary by ADF and KPSS
VIX,EEM,^VIX,5258,-28.832048130857945,0.0,8,True,0.016481711888792636,0.1,38,True,Stationary by ADF and KPSS
WTI Oil,DXY,CL=F,5263,-12.735763557129639,9.168355126181054e-24,24,True,0.06317013240165459,0.1,11,True,Stationary by ADF and KPSS
