asset,model_family,component,order,ar_lag,aic,bic,llf,selected,estimator,note,error,delta_aic,aic_rank_within_family
DXY,Two-step ARIMAX+GARCH,mean_ARIMAX,"ARIMAX(0, 0, 1)",0.0,-33122.128940135706,-33045.9920270827,16573.064470067853,True,statsmodels.SARIMAX,mean equation likelihood; order from TwoStepARIMAGARCHModel (NB02),,,1.0
DXY,Two-step ARIMAX+GARCH,variance_GARCH_on_ARIMAX_residuals,"GARCH(1,1)-t on ARIMAX(0, 0, 1) residuals",,4903.591614901683,4928.972486608389,-2447.7958074508415,True,arch.arch_model,second-stage residual variance likelihood; residuals scaled by 100,,,2.0
DXY,Joint ARX-GARCH,joint_mean_variance,"ARX(0)+GARCH(1,1)",0.0,4922.820355593175,5011.653406566645,-2447.4101777965875,False,ARIMAGARCHModel (arch),single joint Student-t MLE; returns scaled by 100 (NB02),,4.531269619125851,9.0
DXY,Joint ARX-GARCH,joint_mean_variance,"ARX(1)+GARCH(1,1)",1.0,4919.248110096822,5014.42281562838,-2444.624055048411,False,ARIMAGARCHModel (arch),single joint Student-t MLE; returns scaled by 100 (NB02),,0.9590241227724619,5.0
DXY,Joint ARX-GARCH,joint_mean_variance,"ARX(2)+GARCH(1,1)",2.0,4920.363999230429,5021.87988330111,-2444.1819996152144,False,ARIMAGARCHModel (arch),single joint Student-t MLE; returns scaled by 100 (NB02),,2.0749132563796593,8.0
DXY,Joint ARX-GARCH,joint_mean_variance,"ARX(3)+GARCH(1,1)",3.0,4918.710051142689,5026.566637563727,-2442.3550255713444,False,ARIMAGARCHModel (arch),single joint Student-t MLE; returns scaled by 100 (NB02),,0.42096516863966826,3.0
DXY,Joint ARX-GARCH,joint_mean_variance,"ARX(4)+GARCH(1,1)",4.0,4919.452204026889,5033.649016439617,-2441.7261020134447,False,ARIMAGARCHModel (arch),single joint Student-t MLE; returns scaled by 100 (NB02),,1.1631180528402183,6.0
DXY,Joint ARX-GARCH,joint_mean_variance,"ARX(5)+GARCH(1,1)",5.0,4918.289085974049,5038.825647849783,-2440.1445429870246,True,ARIMAGARCHModel (arch),single joint Student-t MLE; returns scaled by 100 (NB02),,0.0,1.0
DXY,Joint ARX-GARCH,joint_mean_variance,"ARX(6)+GARCH(1,1)",6.0,4918.449952577783,5045.32578721772,-2439.2249762888914,False,ARIMAGARCHModel (arch),single joint Student-t MLE; returns scaled by 100 (NB02),,0.16086660373366612,2.0
DXY,Joint ARX-GARCH,joint_mean_variance,"ARX(7)+GARCH(1,1)",7.0,4919.548064710705,5052.762695245812,-2438.7740323553526,False,ARIMAGARCHModel (arch),single joint Student-t MLE; returns scaled by 100 (NB02),,1.2589787366559904,7.0
DXY,Joint ARX-GARCH,joint_mean_variance,"ARX(8)+GARCH(1,1)",8.0,4918.847767849868,5058.400717240777,-2437.423883924934,False,ARIMAGARCHModel (arch),single joint Student-t MLE; returns scaled by 100 (NB02),,0.5586818758192749,4.0
EEM,Two-step ARIMAX+GARCH,mean_ARIMAX,"ARIMAX(2, 0, 1)",2.0,-21759.139178657264,-21670.32609440931,10893.569589328632,True,statsmodels.SARIMAX,mean equation likelihood; order from TwoStepARIMAGARCHModel (NB02),,,1.0
