asset,p,d,q,order,aic,bic,llf,converged,selected_in_nb02,estimator,error,aic_rank,bic_rank
DXY,0,0,0,"(0, 0, 0)",-33137.960645152685,-33068.163247959244,16579.980322576343,False,False,pmdarima.ARIMA,,7.0,1.0
DXY,0,0,1,"(0, 0, 1)",-33139.82688712633,-33063.68427200621,16581.913443563164,True,True,pmdarima.ARIMA,,2.0,2.0
DXY,0,0,2,"(0, 0, 2)",-33138.045431552724,-33055.55759850593,16582.022715776362,True,False,pmdarima.ARIMA,,5.0,5.0
DXY,0,0,3,"(0, 0, 3)",-33137.77403160912,-33048.94098063565,16582.88701580456,True,False,pmdarima.ARIMA,,8.0,7.0
DXY,0,0,4,"(0, 0, 4)",-33135.784266678784,-33040.605997778635,16582.892133339392,True,False,pmdarima.ARIMA,,13.0,13.0
DXY,0,0,5,"(0, 0, 5)",-33133.74592164213,-33032.2224348153,16582.872960821063,True,False,pmdarima.ARIMA,,20.0,21.0
DXY,1,0,0,"(1, 0, 0)",-33139.772088382626,-33063.62947326251,16581.886044191313,True,False,pmdarima.ARIMA,,3.0,3.0
DXY,1,0,1,"(1, 0, 1)",-33138.573881164615,-33056.086048117824,16582.286940582308,True,False,pmdarima.ARIMA,,4.0,4.0
DXY,1,0,2,"(1, 0, 2)",-33136.52790770396,-33047.694856730486,16582.26395385198,True,False,pmdarima.ARIMA,,10.0,9.0
DXY,1,0,3,"(1, 0, 3)",-33135.819920305876,-33040.64165140573,16582.909960152938,True,False,pmdarima.ARIMA,,11.0,11.0
DXY,1,0,4,"(1, 0, 4)",-33135.419472495334,-33033.89598566851,16583.709736247667,True,False,pmdarima.ARIMA,,17.0,18.0
DXY,1,0,5,"(1, 0, 5)",-33133.31982582563,-33025.45112107213,16583.659912912815,True,False,pmdarima.ARIMA,,22.0,23.0
DXY,2,0,0,"(2, 0, 0)",-33137.974872298626,-33055.487039251835,16581.987436149313,True,False,pmdarima.ARIMA,,6.0,6.0
DXY,2,0,1,"(2, 0, 1)",-33131.957298083005,-33043.12424710953,16579.978649041503,True,False,pmdarima.ARIMA,,23.0,10.0
DXY,2,0,2,"(2, 0, 2)",-33135.477930218185,-33040.29966131804,16582.738965109093,True,False,pmdarima.ARIMA,,15.0,15.0
DXY,2,0,3,"(2, 0, 3)",-33133.72527384352,-33032.2017870167,16582.86263692176,True,False,pmdarima.ARIMA,,21.0,22.0
DXY,2,0,4,"(2, 0, 4)",-33142.32330965152,-33034.45460489802,16588.16165482576,True,False,pmdarima.ARIMA,,1.0,16.0
