asset,model,parameter,estimate,std_error,t_stat,p_value
DXY,"ARIMAX(0, 0, 1)",intercept,4.28298355178563e-05,7.11544040226176e-05,0.6019281041865256,0.5472219957799336
DXY,"ARIMAX(0, 0, 1)",x1,-0.014045310084507682,0.005721654940810702,-2.4547635657521143,0.014097727661441944
DXY,"ARIMAX(0, 0, 1)",x2,0.006859602442286383,0.003913801227437321,1.7526701136986238,0.07965864854758341
DXY,"ARIMAX(0, 0, 1)",x3,0.010190804528326849,0.002122967969791216,4.800262968324042,1.584574225934996e-06
DXY,"ARIMAX(0, 0, 1)",x4,0.0003195462574073428,0.005726899057103997,0.05579743142337354,0.9555031811852756
DXY,"ARIMAX(0, 0, 1)",x5,-0.0009447940622010272,0.0025780196626663233,-0.36648054934688573,0.7140065239684283
DXY,"ARIMAX(0, 0, 1)",x6,-0.004707494601036569,0.009418212358159954,-0.499828887056044,0.6171955684747606
DXY,"ARIMAX(0, 0, 1)",x7,-0.028385545342445775,0.012403173927745132,-2.2885710954152683,0.02210428491949994
DXY,"ARIMAX(0, 0, 1)",x8,0.0022432529244814526,0.012920240328102794,0.1736231577366372,0.8621616311927105
DXY,"ARIMAX(0, 0, 1)",x9,-0.03666934906965235,0.009043539295908627,-4.0547564255337365,5.018656993477043e-05
DXY,"ARIMAX(0, 0, 1)",ma.L1,-0.030419414632384845,0.01535933307672802,-1.9805166331391946,0.0476455062212784
DXY,"ARIMAX(0, 0, 1)",sigma2,2.2199078029805384e-05,3.6001573421785497e-07,61.661410654824714,0.0
EEM,"ARIMAX(2, 0, 1)",intercept,0.0006088899431822997,0.00046297239657873114,1.3151754784558833,0.18845093435115312
EEM,"ARIMAX(2, 0, 1)",x1,-0.006542330142350303,0.055737688115117735,-0.11737713499774359,0.906561202437811
EEM,"ARIMAX(2, 0, 1)",x2,-0.01368197228745623,0.004758229264596878,-2.8754335965388544,0.004034730031278945
EEM,"ARIMAX(2, 0, 1)",x3,-0.015444369290322231,0.007498421733263317,-2.0596826691956194,0.039428887291023236
EEM,"ARIMAX(2, 0, 1)",x4,-0.017792585344610312,0.009597090232412321,-1.8539562423326277,0.06374542048124454
EEM,"ARIMAX(2, 0, 1)",x5,0.021482264926108656,0.011220550067996831,1.914546505824185,0.05555036282906837
EEM,"ARIMAX(2, 0, 1)",x6,-0.028088383878553416,0.01789573948540087,-1.569557039063269,0.11651819978780097
EEM,"ARIMAX(2, 0, 1)",x7,-0.4003207058508048,0.026522069508276205,-15.09387137854702,1.777025360980458e-51
EEM,"ARIMAX(2, 0, 1)",x8,-0.10135271237605151,0.03962545218422477,-2.55776796955773,0.010534635749178192
EEM,"ARIMAX(2, 0, 1)",x9,-0.1079329455984305,0.02602804034891623,-4.146794923918453,3.371617980222592e-05
EEM,"ARIMAX(2, 0, 1)",ar.L1,-0.5250114832733815,0.05900997793438137,-8.896995078649075,5.737904409485332e-19
EEM,"ARIMAX(2, 0, 1)",ar.L2,-0.023803332470474725,0.012899399503807998,-1.8453054704947938,0.06499311515935628
EEM,"ARIMAX(2, 0, 1)",ma.L1,0.5972095514054971,0.05803171918865133,10.291088386750522,7.7297647523566175e-25
EEM,"ARIMAX(2, 0, 1)",sigma2,0.00032925813589785804,3.018268889231777e-06,109.08840397638073,0.0
